Wall time,Step,Value
1528051774.653958,2084,-177.58966064453125
1528051845.478031,4168,-156.48092651367188
1528051904.528097,6252,-150.8688507080078
1528051962.677663,8336,-147.0991973876953
1528052019.304774,10420,-144.54994201660156
1528052077.083511,12504,-142.3825225830078
1528052131.551911,14588,-140.69036865234375
1528052186.58436,16672,-139.2594451904297
1528052240.728444,18756,-137.956787109375
1528052297.363371,20840,-136.9270477294922
1528052357.332323,22924,-135.90023803710938
1528052412.838986,25008,-135.0734405517578
1528052466.645559,27092,-134.29934692382812
1528052519.496739,29176,-133.53274536132812
1528052572.235853,31260,-132.9142303466797
1528052625.942001,33344,-132.2024688720703
1528052680.41954,35428,-131.58038330078125
1528052734.200188,37512,-130.99032592773438
1528052791.892077,39596,-130.38973999023438
1528052937.107497,41680,-129.9483184814453
1528052990.700328,43764,-129.3844451904297
1528053044.696915,45848,-128.87777709960938
1528053098.58836,47932,-128.3777313232422
1528053151.932855,50016,-127.96011352539062
1528053205.846701,52100,-127.61466979980469
1528053261.271716,54184,-127.15746307373047
1528053315.667738,56268,-126.7889404296875
1528053369.200837,58352,-126.47494506835938
1528053422.730027,60436,-126.13641357421875
1528053477.0265,62520,-125.85359954833984
1528053530.808886,64604,-125.35173034667969
1528053584.869226,66688,-125.21896362304688
1528053638.940818,68772,-124.78131103515625
1528053695.365429,70856,-124.528076171875
1528053748.662555,72940,-124.33282470703125
1528053802.475799,75024,-123.97547912597656
1528053857.29145,77108,-123.86390686035156
1528053910.583472,79192,-123.70123291015625
1528053964.236723,81276,-123.40702056884766
1528054080.396092,83360,-123.15281677246094
1528054134.385435,85444,-122.85334777832031
1528054188.551466,87528,-122.57758331298828
1528054242.147524,89612,-122.41596221923828
1528054298.144809,91696,-122.19368743896484
1528054351.620938,93780,-122.08081817626953
1528054405.736876,95864,-121.84964752197266
1528054459.892555,97948,-121.6584243774414
1528054513.473831,100032,-121.53091430664062
1528054566.686381,102116,-121.3265151977539
1528054621.960956,104200,-121.08726501464844
1528054675.352556,106284,-120.88358306884766
1528054729.147661,108368,-120.6229019165039
1528054783.040012,110452,-120.58485412597656
1528054836.397004,112536,-120.36980438232422
1528054890.500415,114620,-120.26467895507812
1528054944.529276,116704,-119.93490600585938
1528054999.014589,118788,-119.9442138671875
1528055053.636761,120872,-119.7617416381836
1528055107.825424,122956,-119.73397827148438
1528055252.898849,125040,-119.47435760498047
1528055305.445979,127124,-119.27922821044922
1528055359.105965,129208,-118.97776794433594
1528055411.386984,131292,-118.8859634399414
1528055463.550668,133376,-118.73966979980469
1528055515.567946,135460,-118.63829040527344
1528055567.617458,137544,-118.4455795288086
1528055620.417616,139628,-118.39722442626953
1528055672.688736,141712,-118.17926788330078
1528055725.312602,143796,-118.0388412475586
1528055777.278528,145880,-118.03104400634766
1528055829.956504,147964,-117.90335083007812
1528055881.965306,150048,-117.72671508789062
1528055933.853415,152132,-117.63343811035156
1528055986.725261,154216,-117.61161041259766
1528056039.512574,156300,-117.28109741210938
1528056091.358101,158384,-117.26950073242188
1528056144.080649,160468,-117.06183624267578
1528056196.299661,162552,-116.9894027709961
1528056248.890922,164636,-116.92473602294922
1528056389.596138,166720,-116.74584197998047
1528056442.128051,168804,-116.6662368774414
1528056494.23339,170888,-116.59112548828125
1528056552.506022,172972,-116.48149871826172
1528056605.735459,175056,-116.32733917236328
1528056659.367882,177140,-116.23773193359375
1528056713.038645,179224,-116.18814849853516
1528056766.283845,181308,-115.94116973876953
1528056820.268178,183392,-115.87499237060547
1528056873.963795,185476,-115.90164184570312
1528056927.684082,187560,-115.77530670166016
1528056983.70342,189644,-115.54344940185547
1528057037.094932,191728,-115.49161529541016
1528057091.478316,193812,-115.36685943603516
1528057145.802542,195896,-115.36260986328125
1528057199.657938,197980,-115.25923156738281
1528057253.41446,200064,-115.16382598876953
1528057306.613032,202148,-115.05487060546875
1528057360.780842,204232,-115.00484466552734
1528057414.077355,206316,-114.89225769042969
1528057558.53386,208400,-114.89705657958984
1528057612.317208,210484,-114.86536407470703
1528057665.631221,212568,-114.68684387207031
1528057720.524425,214652,-114.6695785522461
1528057774.24614,216736,-114.45853424072266
1528057828.045387,218820,-114.34270477294922
1528057881.832289,220904,-114.29195404052734
1528057934.743826,222988,-114.26237487792969
1528057988.052063,225072,-114.15923309326172
1528058042.121355,227156,-114.07344818115234
1528058095.531989,229240,-113.96150207519531
1528058149.278137,231324,-113.8755111694336
1528058201.821632,233408,-113.82843017578125
1528058253.7046,235492,-113.68077087402344
1528058306.292861,237576,-113.59420013427734
1528058359.118847,239660,-113.48725891113281
1528058411.531154,241744,-113.57980346679688
1528058463.47654,243828,-113.41708374023438
1528058515.345697,245912,-113.32518768310547
1528058567.316362,247996,-113.26815795898438
1528058710.078308,250080,-113.29461669921875
1528058764.459748,252164,-113.13302612304688
1528058817.287315,254248,-113.02886199951172
1528058869.926709,256332,-112.99594116210938
1528058922.478715,258416,-112.92430877685547
1528058974.74162,260500,-112.85780334472656
1528059027.383457,262584,-112.78943634033203
1528059079.826036,264668,-112.7009048461914
1528059132.086031,266752,-112.64961242675781
1528059183.915738,268836,-112.5541000366211
1528059235.763992,270920,-112.58049011230469
1528059288.42033,273004,-112.45606994628906
1528059340.76567,275088,-112.41217041015625
1528059392.53785,277172,-112.31781768798828
1528059445.028899,279256,-112.21846771240234
1528059496.871167,281340,-112.18008422851562
1528059549.649282,283424,-112.0855712890625
1528059601.797924,285508,-112.08782958984375
1528059653.376269,287592,-111.98929595947266
1528059705.264654,289676,-111.899658203125
1528059845.60009,291760,-111.90776824951172
1528059897.974765,293844,-111.78038787841797
1528059950.3626,295928,-111.85627746582031
1528060002.562058,298012,-111.75292205810547
1528060054.354714,300096,-111.59662628173828
1528060107.719136,302180,-111.54524993896484
1528060160.738917,304264,-111.5135269165039
1528060212.527745,306348,-111.4742202758789
1528060264.490228,308432,-111.38858032226562
1528060316.563291,310516,-111.35717010498047
1528060369.048877,312600,-111.32902526855469
1528060421.474356,314684,-111.24566650390625
1528060473.476248,316768,-111.18193054199219
1528060526.310053,318852,-111.17046356201172
1528060578.8393,320936,-111.06678009033203
1528060631.356566,323020,-110.99979400634766
1528060683.769666,325104,-110.97164916992188
1528060735.747129,327188,-110.91020202636719
1528060788.700885,329272,-110.93653869628906
1528060840.395045,331356,-110.80677795410156
1528060980.214501,333440,-110.85699462890625
1528061032.200898,335524,-110.74576568603516
1528061084.396449,337608,-110.68643951416016
1528061135.947694,339692,-110.70805358886719
1528061188.258695,341776,-110.55084228515625
1528061240.533486,343860,-110.42356872558594
1528061292.398026,345944,-110.3907241821289
1528061344.979242,348028,-110.3173828125
1528061396.4723,350112,-110.37357330322266
1528061448.632815,352196,-110.28763580322266
1528061503.194938,354280,-110.24337005615234
1528061556.384274,356364,-110.25199890136719
1528061610.235876,358448,-110.13129425048828
1528061664.285297,360532,-110.15306091308594
1528061717.225541,362616,-110.0993423461914
1528061771.148541,364700,-110.00428009033203
1528061824.048484,366784,-110.00552368164062
1528061877.115,368868,-109.99003601074219
1528061930.844851,370952,-109.8503646850586
1528061984.373305,373036,-109.91777038574219
1528062126.630923,375120,-109.83779907226562
1528062178.360561,377204,-109.69694519042969
1528062230.421396,379288,-109.8062973022461
1528062282.360047,381372,-109.74832153320312
1528062335.40788,383456,-109.68728637695312
1528062387.738346,385540,-109.6348876953125
1528062440.014915,387624,-109.53950500488281
1528062492.499915,389708,-109.46879577636719
1528062545.33808,391792,-109.55482482910156
1528062600.352297,393876,-109.42504119873047
1528062655.963197,395960,-109.40885162353516
1528062710.645486,398044,-109.4091567993164
1528062766.049119,400128,-109.3029556274414
1528062820.663777,402212,-109.24470520019531
1528062874.553635,404296,-109.31895446777344
1528062928.051922,406380,-109.18771362304688
1528062981.599589,408464,-109.25576782226562
1528063034.716172,410548,-109.1501235961914
1528063088.041977,412632,-109.09942626953125
1528063142.340307,414716,-109.1181640625
1528063284.992687,416800,-109.00556182861328
1528063337.745227,418884,-108.96654510498047
1528063391.59583,420968,-108.94793701171875
1528063444.744361,423052,-108.92341613769531
1528063496.163412,425136,-108.88743591308594
1528063547.548927,427220,-108.84432220458984
1528063599.548484,429304,-108.78190612792969
1528063651.237742,431388,-108.71072387695312
1528063703.432331,433472,-108.70539093017578
1528063756.040191,435556,-108.716796875
1528063808.075041,437640,-108.66130065917969
1528063859.775582,439724,-108.60523223876953
1528063911.586898,441808,-108.52118682861328
1528063963.09208,443892,-108.52069854736328
1528064014.519006,445976,-108.4970703125
1528064066.828915,448060,-108.44215393066406
1528064119.118859,450144,-108.44178009033203
1528064171.047871,452228,-108.43228912353516
1528064222.593936,454312,-108.3782958984375
1528064274.052342,456396,-108.34269714355469
1528064413.217735,458480,-108.33001708984375
1528064464.940454,460564,-108.23580169677734
1528064517.052995,462648,-108.19326782226562
1528064568.751372,464732,-108.19290161132812
1528064620.448408,466816,-108.19683074951172
1528064672.738877,468900,-108.18093872070312
1528064725.139318,470984,-108.11544799804688
1528064776.701202,473068,-108.01583862304688
1528064828.264672,475152,-108.08033752441406
1528064880.282405,477236,-108.04108428955078
1528064932.664713,479320,-108.005126953125
1528064984.405821,481404,-107.97345733642578
1528065035.802444,483488,-107.91604614257812
1528065087.916407,485572,-107.93065643310547
1528065139.457078,487656,-107.94266510009766
1528065191.314992,489740,-107.8258285522461
1528065243.10765,491824,-107.7902603149414
1528065294.500129,493908,-107.8082504272461
1528065346.442119,495992,-107.71298217773438
1528065398.709027,498076,-107.70196533203125
1528065537.500754,500160,-107.7000961303711
1528065588.867775,502244,-107.64590454101562
1528065640.451766,504328,-107.68879699707031
1528065692.270206,506412,-107.6062240600586
1528065744.506909,508496,-107.49376678466797
1528065795.956595,510580,-107.52084350585938
1528065847.515321,512664,-107.49185180664062
1528065899.433405,514748,-107.5467529296875
1528065953.178423,516832,-107.44993591308594
1528066006.123925,518916,-107.46080780029297
1528066057.756194,521000,-107.42041015625
1528066110.349887,523084,-107.35102844238281
1528066162.967754,525168,-107.363037109375
1528066214.594831,527252,-107.25177001953125
1528066266.191808,529336,-107.22346496582031
1528066317.884293,531420,-107.26081848144531
1528066369.480615,533504,-107.25231170654297
1528066427.766168,535588,-107.14783477783203
1528066481.813337,537672,-107.1640396118164
1528066535.437818,539756,-107.1694564819336
1528066677.345345,541840,-107.09281158447266
1528066730.320565,543924,-107.09171295166016
1528066784.150497,546008,-107.06183624267578
1528066837.470974,548092,-107.13056945800781
1528066890.778646,550176,-107.06301879882812
1528066944.24832,552260,-107.04486083984375
1528066997.055056,554344,-107.02620697021484
1528067049.440248,556428,-106.97657775878906
1528067100.849638,558512,-106.94943237304688
1528067152.342229,560596,-106.92249298095703
1528067204.34343,562680,-106.88485717773438
1528067255.82226,564764,-106.82099914550781
1528067308.394573,566848,-106.7913818359375
1528067360.501542,568932,-106.77550506591797
1528067412.647167,571016,-106.83627319335938
1528067464.743647,573100,-106.78644561767578
1528067516.083266,575184,-106.75405883789062
1528067567.924657,577268,-106.6866455078125
1528067619.395543,579352,-106.66228485107422
1528067671.810813,581436,-106.60919952392578
1528067810.048092,583520,-106.65389251708984
1528067861.664944,585604,-106.59635925292969
1528067913.842805,587688,-106.55125427246094
1528067966.217086,589772,-106.55278015136719
1528068017.8983,591856,-106.4993896484375
1528068069.434445,593940,-106.5247573852539
1528068121.223383,596024,-106.50694274902344
1528068173.217649,598108,-106.44844818115234
1528068225.129496,600192,-106.44290161132812
1528068276.930673,602276,-106.39405822753906
1528068329.221662,604360,-106.4482421875
1528068380.911451,606444,-106.32461547851562
1528068432.687906,608528,-106.40372467041016
1528068484.4841,610612,-106.34252166748047
1528068536.906132,612696,-106.26152801513672
1528068588.845053,614780,-106.21173095703125
1528068640.857754,616864,-106.25235748291016
1528068693.446514,618948,-106.22240447998047
1528068745.729959,621032,-106.2115249633789
1528068797.564915,623116,-106.22895050048828
1528068936.497437,625200,-106.19705963134766
1528068988.87723,627284,-106.18865203857422
1528069040.902113,629368,-106.12884521484375
1528069092.959899,631452,-106.1661148071289
1528069145.042044,633536,-106.07073974609375
1528069197.108465,635620,-106.0871810913086
1528069249.087151,637704,-106.06729888916016
1528069300.838935,639788,-106.09866333007812
1528069353.385144,641872,-106.03279876708984
1528069405.839019,643956,-106.01606750488281
1528069457.653127,646040,-105.97679901123047
1528069509.623789,648124,-106.0003890991211
1528069562.749085,650208,-105.99785614013672
1528069614.856545,652292,-105.87167358398438
1528069666.954817,654376,-105.87356567382812
1528069719.458424,656460,-105.9038314819336
1528069772.121855,658544,-105.8642807006836
1528069824.058335,660628,-105.84070587158203
1528069875.633677,662712,-105.75605773925781
1528069927.251209,664796,-105.77774810791016
1528070066.953146,666880,-105.74026489257812
1528070118.849744,668964,-105.67216491699219
1528070171.168544,671048,-105.78780364990234
1528070222.838568,673132,-105.74384307861328
1528070275.035207,675216,-105.71430206298828
1528070326.697407,677300,-105.74278259277344
1528070378.73289,679384,-105.62652587890625
1528070430.961204,681468,-105.58467102050781
1528070482.687889,683552,-105.65093231201172
1528070534.447882,685636,-105.54362487792969
1528070586.451306,687720,-105.52009582519531
1528070638.277968,689804,-105.54534149169922
1528070689.934623,691888,-105.52017974853516
1528070741.357026,693972,-105.61212921142578
1528070793.727535,696056,-105.52268981933594
1528070845.641555,698140,-105.4974594116211
1528070897.411138,700224,-105.5
1528070951.066084,702308,-105.44068145751953
1528071003.487904,704392,-105.42020416259766
1528071055.747972,706476,-105.43159484863281
1528071194.695786,708560,-105.4405288696289
1528071246.4848,710644,-105.37683868408203
1528071298.605844,712728,-105.37430572509766
1528071350.177993,714812,-105.34620666503906
1528071401.720752,716896,-105.32904052734375
1528071453.929367,718980,-105.25467681884766
1528071506.046029,721064,-105.25304412841797
1528071558.254643,723148,-105.2479248046875
1528071609.789017,725232,-105.19135284423828
1528071661.051606,727316,-105.21969604492188
1528071713.035139,729400,-105.22734832763672
1528071765.78628,731484,-105.2558822631836
1528071817.412236,733568,-105.16039276123047
1528071870.410157,735652,-105.21804809570312
1528071922.345942,737736,-105.1417236328125
1528071974.243817,739820,-105.09140014648438
1528072026.193299,741904,-105.06593322753906
1528072078.50076,743988,-105.04386901855469
1528072130.74988,746072,-105.05575561523438
1528072182.605247,748156,-104.9942855834961
1528072321.783554,750240,-105.03984069824219
1528072373.656389,752324,-104.96832275390625
1528072425.60537,754408,-104.93042755126953
1528072477.982829,756492,-104.9527359008789
