Wall time,Step,Value
1528051774.653758,2084,-3.194213628768921
1528051845.477935,4168,-2.3957679271698
1528051904.528033,6252,-2.2299444675445557
1528051962.677593,8336,-2.170837879180908
1528052019.304667,10420,-2.1375439167022705
1528052077.083448,12504,-2.1267800331115723
1528052131.551849,14588,-2.113007068634033
1528052186.584295,16672,-2.11759614944458
1528052240.728379,18756,-2.1284313201904297
1528052297.363085,20840,-2.137375831604004
1528052357.332211,22924,-2.1306867599487305
1528052412.838921,25008,-2.1445038318634033
1528052466.645495,27092,-2.1511385440826416
1528052519.496675,29176,-2.159316062927246
1528052572.235778,31260,-2.1647825241088867
1528052625.941704,33344,-2.1790292263031006
1528052680.419477,35428,-2.1937265396118164
1528052734.199882,37512,-2.1917474269866943
1528052791.891993,39596,-2.2078003883361816
1528052937.107444,41680,-2.2172539234161377
1528052990.700249,43764,-2.2328696250915527
1528053044.69685,45848,-2.25085186958313
1528053098.588301,47932,-2.2618813514709473
1528053151.932795,50016,-2.2713189125061035
1528053205.846632,52100,-2.2805347442626953
1528053261.271607,54184,-2.2844693660736084
1528053315.667668,56268,-2.3048810958862305
1528053369.20077,58352,-2.3072729110717773
1528053422.729946,60436,-2.305065155029297
1528053477.02643,62520,-2.322111129760742
1528053530.80882,64604,-2.350454568862915
1528053584.869157,66688,-2.3575239181518555
1528053638.940752,68772,-2.371767282485962
1528053695.365359,70856,-2.3844494819641113
1528053748.662488,72940,-2.3943514823913574
1528053802.475642,75024,-2.40478515625
1528053857.291343,77108,-2.403968095779419
1528053910.583411,79192,-2.4052700996398926
1528053964.236662,81276,-2.41916561126709
1528054080.396022,83360,-2.425894260406494
1528054134.385359,85444,-2.44675874710083
1528054188.551399,87528,-2.453890323638916
1528054242.147442,89612,-2.457651138305664
1528054298.144698,91696,-2.462327241897583
1528054351.620851,93780,-2.4655873775482178
1528054405.736811,95864,-2.4716391563415527
1528054459.892454,97948,-2.4830987453460693
1528054513.473764,100032,-2.491804361343384
1528054566.686324,102116,-2.501060724258423
1528054621.960887,104200,-2.506263256072998
1528054675.352489,106284,-2.517399787902832
1528054729.147594,108368,-2.5352745056152344
1528054783.039915,110452,-2.545673131942749
1528054836.396935,112536,-2.558816909790039
1528054890.500328,114620,-2.5621140003204346
1528054944.529202,116704,-2.564666986465454
1528054999.014527,118788,-2.577305555343628
1528055053.636696,120872,-2.57891583442688
1528055107.825333,122956,-2.5702695846557617
1528055252.898769,125040,-2.5861427783966064
1528055305.445918,127124,-2.600846290588379
1528055359.105887,129208,-2.6205484867095947
1528055411.386921,131292,-2.6333913803100586
1528055463.550609,133376,-2.6333248615264893
1528055515.567883,135460,-2.647218942642212
1528055567.617391,137544,-2.653618097305298
1528055620.417531,139628,-2.6585299968719482
1528055672.68867,141712,-2.6587696075439453
1528055725.31254,143796,-2.6780171394348145
1528055777.278458,145880,-2.684347629547119
1528055829.956442,147964,-2.679539203643799
1528055881.965239,150048,-2.6862688064575195
1528055933.853351,152132,-2.695543050765991
1528055986.725195,154216,-2.702533006668091
1528056039.512475,156300,-2.723871946334839
1528056091.358038,158384,-2.7245848178863525
1528056144.080587,160468,-2.7414400577545166
1528056196.299597,162552,-2.7446365356445312
1528056248.890798,164636,-2.734064817428589
1528056389.596065,166720,-2.7531347274780273
1528056442.127984,168804,-2.765540361404419
1528056494.233325,170888,-2.7724268436431885
1528056552.505955,172972,-2.7747695446014404
1528056605.735396,175056,-2.7860372066497803
1528056659.367797,177140,-2.7947239875793457
1528056713.038582,179224,-2.7825393676757812
1528056766.283782,181308,-2.802180767059326
1528056820.268116,183392,-2.822455883026123
1528056873.963729,185476,-2.8198986053466797
1528056927.684021,187560,-2.824768543243408
1528056983.703349,189644,-2.83201003074646
1528057037.094847,191728,-2.8446545600891113
1528057091.478254,193812,-2.8684933185577393
1528057145.802482,195896,-2.852987289428711
1528057199.657884,197980,-2.8549766540527344
1528057253.414392,200064,-2.8699424266815186
